code,country_en,country_cn,year,JR,entry_exit,capvol,mafdi,cwtfp,tfp_gr,lp_gr,bp_disp,scc,hitech,PMR,EPL,INSOLV,FDI,EFW,gdp_pc,PMR_inv,EPL_inv,capvol_inv,bp_disp_inv,n_JR,n_entry_exit,n_mafdi,n_capvol_inv,n_cwtfp,n_tfp_gr,n_lp_gr,n_bp_disp_inv,n_scc,n_hitech,n_PMR_inv,n_EPL_inv,n_INSOLV,n_FDI,n_EFW,SI1_JR,SI2_ENT,SI3_CAPVOL,SI4_MAFDI,SI5_TFP,SI6_TFPGR,SI7_LPGR,SI8_BPDISP,SI9_SCC,SI10_HITECH,SI11_PMR,SI12_EPL,SI13_INSOLV,SI14_FDI,SI15_EFW,P1_labor,P2_capital,P3_quality,P4_upgrade,P5_regul,P6_fin,D1_process,D2_outcome,D3_institution,RE_geom,RE_arith,RE_hs_ratio,RE_BoD_2023
ARG,Argentina,阿根廷,2023,19.8,10.04,9.97,1.11,0.6331,-1.11,-0.58,0.7253,0.064,0.0823,2.23,3.07,0.38,0.4,4.89,10903.0,0.9700000000000002,0.43000000000000016,2.0299999999999994,0.27470000000000006,0.4246586433260394,0.4598596214511041,0.07591348600508907,0.09980088987764171,0.48396022882048495,0.3736042216358839,0.20833797216699804,0.45440642923836216,0.1960488599348534,0.2179565217391304,0.38484615384615395,0.0391748633879783,0.23937579617834395,0.2572839879154079,0.001,0.4246586433260394,0.4598596214511041,0.09980088987764171,0.07591348600508907,0.48396022882048495,0.3736042216358839,0.20833797216699804,0.45440642923836216,0.1960488599348534,0.2179565217391304,0.38484615384615395,0.0391748633879783,0.23937579617834395,0.2572839879154079,0.001,0.43840357983017275,0.08704156166465415,0.3628497660709955,0.20453448430217044,0.1681671554587247,0.027941367357526482,0.22962286155228326,0.30551937380643696,0.08972602848543645,0.19417601012350869,0.21801241653389072,0.036724697043049724,0.3761216686653602
AUS,Australia,澳大利亚,2023,26.0,13.56,3.49,5.02,0.8784,0.57,1.36,0.3819,0.255,0.147,1.25,1.77,0.798,0.802,8.01,60239.0,1.9500000000000002,1.73,8.51,0.6181,0.6954507658643325,0.7369069400630915,0.5723740458015266,0.8191601779755284,0.817397166984473,0.5947968337730871,0.4007952286282307,0.9115402160864345,0.29953311617806727,0.49319352088661544,0.8864051282051283,0.748136612021858,0.9036496815286625,0.863320241691843,0.9168117647058825,0.6954507658643325,0.7369069400630915,0.8191601779755284,0.5723740458015266,0.817397166984473,0.5947968337730871,0.4007952286282307,0.9115402160864345,0.29953311617806727,0.49319352088661544,0.8864051282051283,0.748136612021858,0.9036496815286625,0.863320241691843,0.9168117647058825,0.7117457662970144,0.684737924484508,0.6456659782150286,0.3656569663580004,0.8473195102574846,0.8843317653525206,0.7008170971400989,0.5444119977337476,0.8600941881909997,0.6736220356797802,0.6860381846928286,0.3347059309176817,0.8856248820516749
BRA,Brazil,巴西,2023,22.2,11.42,6.47,3.3,0.4681,0.39,0.06,0.7604,0.411,0.0884,2.03,2.85,0.47,0.67,6.53,9589.0,1.1700000000000004,0.6499999999999999,5.53,0.23960000000000004,0.5294814004376368,0.56847476340694,0.3539821882951653,0.48834371523915465,0.2596752928357396,0.5710976253298153,0.27182902584493046,0.4076813392023477,0.3840542888165038,0.24390622335890877,0.48720512820512835,0.15915300546448088,0.3824012738853502,0.6643232628398792,0.4823882352941179,0.5294814004376368,0.56847476340694,0.48834371523915465,0.3539821882951653,0.2596752928357396,0.5710976253298153,0.27182902584493046,0.4076813392023477,0.3840542888165038,0.24390622335890877,0.48720512820512835,0.15915300546448088,0.3824012738853502,0.6643232628398792,0.4823882352941179,0.5447470676747092,0.4157703416076561,0.3500619449236115,0.32027624217601125,0.32388064297167296,0.5845024815400944,0.48894312421258956,0.34084650742180594,0.39822220343817266,0.3979593231824966,0.402488201263951,0.1040434925327888,0.5732098254682632
CAN,Canada,加拿大,2023,23.88,12.08,2.96,4.92,0.8991,0.58,0.72,0.3768,0.106,0.1625,1.28,1.53,0.828,0.798,7.89,50854.0,1.9200000000000002,1.97,9.04,0.6232,0.6028573304157548,0.6204211356466878,0.559676844783715,0.8779966629588432,0.8455347316807409,0.59611345646438,0.33730417495029824,0.918329331732693,0.2188045602605863,0.5591312872975277,0.8710512820512821,0.8790218579234973,0.9513248407643312,0.8572900302114804,0.8815882352941178,0.6028573304157548,0.6204211356466878,0.8779966629588432,0.559676844783715,0.8455347316807409,0.59611345646438,0.33730417495029824,0.918329331732693,0.2188045602605863,0.5591312872975277,0.8710512820512821,0.8790218579234973,0.9513248407643312,0.8572900302114804,0.8815882352941178,0.6098223839117071,0.7009952938896497,0.626003537312964,0.3184485966884425,0.8968422161701873,0.8669278967346693,0.6447748034843402,0.5111113825694219,0.886256575607442,0.646392754349313,0.6637539667553034,0.29589556628318403,0.8764269692511306
CHN,China,中国,2023,15.4,8.2,5.93,2.08,0.4349,2.23,6.52,0.8273,1.536,0.1459,2.52,3.03,0.52,0.758,6.21,11157.0,0.6800000000000002,0.4700000000000002,6.07,0.17269999999999996,0.23248358862144422,0.3150394321766561,0.19907633587786255,0.5482903225806453,0.2145464451103242,0.8133562005277045,0.9126918489065607,0.318624116313192,0.9935819761129208,0.48851406649616363,0.23642564102564104,0.06098907103825154,0.46185987261146505,0.796987915407855,0.3884588235294119,0.23248358862144422,0.3150394321766561,0.5482903225806453,0.19907633587786255,0.2145464451103242,0.8133562005277045,0.9126918489065607,0.318624116313192,0.9935819761129208,0.48851406649616363,0.23642564102564104,0.06098907103825154,0.46185987261146505,0.796987915407855,0.3884588235294119,0.26253145582814225,0.33038103519519113,0.4653324767541974,0.7479508364624253,0.19248926093987093,0.5978731334278614,0.2878159461969126,0.5365327920879734,0.2862051153047451,0.36861769684813134,0.3868194352856867,0.09010570319675724,0.6580553448461193
DEU,Germany,德国,2023,18.2,7.94,2.56,4.52,0.9287,0.52,0.57,0.3333,0.245,0.2076,1.26,2.57,0.762,0.792,7.84,50855.0,1.9400000000000002,0.9300000000000002,9.44,0.6667000000000001,0.3547768052516411,0.29457570977917985,0.5088880407124681,0.9224015572858733,0.885770089893762,0.5882137203166227,0.3224234592445328,0.9762364945978392,0.29411509229098803,0.7509889173060528,0.8812871794871796,0.3118524590163936,0.8464394904458599,0.8482447129909366,0.8669117647058825,0.3547768052516411,0.29457570977917985,0.9224015572858733,0.5088880407124681,0.885770089893762,0.5882137203166227,0.3224234592445328,0.9762364945978392,0.29411509229098803,0.7509889173060528,0.8812871794871796,0.3118524590163936,0.8464394904458599,0.8482447129909366,0.8669117647058825,0.32934562923899835,0.6851270840051045,0.6332828937564846,0.427921194842684,0.6375445064529561,0.8556628081268723,0.44146837405651024,0.563024857282246,0.7067043419059271,0.5603407855676267,0.5696617577016296,0.1921893626891865,0.8079254882931156
EUU,European Union,欧盟,2023,20.08,9.79,3.0,5.73,0.8735,-0.05,0.87,0.3902,0.15,0.1843,1.32,2.53,0.732,0.762,7.75,38375.0,1.8800000000000001,0.9700000000000002,9.0,0.6098,0.436887964989059,0.4401829652996845,0.6625241730279898,0.8735561735261402,0.8107365840370474,0.5131662269129287,0.3521848906560637,0.9004912631719355,0.24264386536373503,0.6518695652173913,0.8505794871794873,0.33366666666666683,0.7987643312101911,0.8030181268882175,0.8404941176470591,0.436887964989059,0.4401829652996845,0.8735561735261402,0.6625241730279898,0.8107365840370474,0.5131662269129287,0.3521848906560637,0.9004912631719355,0.24264386536373503,0.6518695652173913,0.8505794871794873,0.33366666666666683,0.7987643312101911,0.8030181268882175,0.8404941176470591,0.43820299495079895,0.7607575707535885,0.5995384330745559,0.3602847430205795,0.630384328231733,0.8178037180011866,0.5463912276161895,0.5145951413338473,0.6905111461209935,0.5722536823580926,0.5769087686546938,0.21471757485055065,0.7829916225994585
FRA,France,法国,2023,20.12,10.19,2.35,4.82,0.9297,0.26,0.7,0.3989,0.256,0.1573,1.38,2.66,0.728,0.802,7.77,44543.0,1.8200000000000003,0.8399999999999999,9.65,0.6011,0.43863501094091906,0.47166561514195576,0.5469796437659034,0.9457141268075641,0.8871293925360937,0.553981530343008,0.33532007952286286,0.8889098305989063,0.30007491856677526,0.537010230179028,0.8198717948717951,0.26277049180327866,0.792407643312102,0.863320241691843,0.846364705882353,0.43863501094091906,0.47166561514195576,0.9457141268075641,0.5469796437659034,0.8871293925360937,0.553981530343008,0.33532007952286286,0.8889098305989063,0.30007491856677526,0.537010230179028,0.8198717948717951,0.26277049180327866,0.792407643312102,0.863320241691843,0.846364705882353,0.45156020621836185,0.7192262343557719,0.6185949125420562,0.37873098888362305,0.5768407773124515,0.8564976427423545,0.543970822602072,0.5339292254722108,0.662430819787327,0.5728070018232149,0.575492182905704,0.21714160604779,0.7957098766401434
GBR,United Kingdom,英国,2023,24.92,13.06,3.58,7.75,0.8313,0.31,0.65,0.349,0.068,0.1788,1.17,1.9,0.842,0.862,7.86,46563.0,2.0300000000000002,1.6,8.42,0.651,0.6482805251641138,0.6975536277602524,0.9190076335877861,0.8091690767519467,0.7533740125306457,0.5605646437994722,0.3303598409542744,0.9553366680005336,0.1982160694896851,0.628472293265132,0.9273487179487181,0.67724043715847,0.9735732484076434,0.9537734138972809,0.8727823529411768,0.6482805251641138,0.6975536277602524,0.8091690767519467,0.9190076335877861,0.7533740125306457,0.5605646437994722,0.3303598409542744,0.9553366680005336,0.1982160694896851,0.628472293265132,0.9273487179487181,0.67724043715847,0.9735732484076434,0.9537734138972809,0.8727823529411768,0.6675577248383668,0.86234132360581,0.5970871402564485,0.31448343212723945,0.8563093465888273,0.9205121179571252,0.7395456293010897,0.4926128467572802,0.8782542768562206,0.6618778810096626,0.6823851105501051,0.3247702846023856,0.9115369382298375
IDN,Indonesia,印尼,2023,20.32,9.94,6.2,2.97,0.4334,1.0,3.73,0.7853,0.859,0.0523,2.16,2.75,0.532,0.46,6.79,4550.0,1.04,0.75,5.8,0.2147,0.4473702407002188,0.45198895899053626,0.31208142493638674,0.5183170189098999,0.2125074911468265,0.6514116094986807,0.6359105367793242,0.3745344804588503,0.6267817589576546,0.09033503836317133,0.42067179487179485,0.213688524590164,0.48092993630573255,0.34773716012084593,0.5587058823529414,0.4473702407002188,0.45198895899053626,0.5183170189098999,0.31208142493638674,0.2125074911468265,0.6514116094986807,0.6359105367793242,0.3745344804588503,0.6267817589576546,0.09033503836317133,0.42067179487179485,0.213688524590164,0.48092993630573255,0.34773716012084593,0.5587058823529414,0.44921203719183084,0.40219039499990755,0.4142127980413193,0.2888100506068564,0.35738495128225206,0.42036249335559683,0.429777335450079,0.37174073225987553,0.3782744039740312,0.39031136704049335,0.3911118147311833,0.09851589059235161,0.5497865189672916
