code,country_en,country_cn,year,JR,entry_exit,capvol,mafdi,cwtfp,tfp_gr,lp_gr,bp_disp,scc,hitech,PMR,EPL,INSOLV,FDI,EFW,gdp_pc
ARG,Argentina,阿根廷,2000,20.95,10.35,10.28,1.57,0.7074,-1.39,-0.56,0.8419,-0.016,0.0914,1.77,2.95,0.495,0.515,6.04,5204.0
ARG,Argentina,阿根廷,2001,20.9,10.34,10.42,2.11,0.7041,-1.25,-0.83,0.8341,-0.14,0.0811,1.79,2.96,0.49,0.51,5.99,5452.0
ARG,Argentina,阿根廷,2002,20.85,9.96,10.54,0.81,0.7009,-1.3,-1.2,0.8456,-0.078,0.082,1.81,2.96,0.485,0.505,5.94,5699.0
ARG,Argentina,阿根廷,2003,20.8,10.2,9.84,2.07,0.6977,-1.21,-0.75,0.8567,0.018,0.086,1.83,2.97,0.48,0.5,5.89,5947.0
ARG,Argentina,阿根廷,2004,20.75,10.56,10.0,0.64,0.6944,-1.35,-0.93,0.8507,-0.154,0.0774,1.85,2.97,0.475,0.495,5.84,6195.0
ARG,Argentina,阿根廷,2005,20.7,10.74,9.91,1.6,0.6912,-1.3,-1.08,0.7973,0.1,0.0791,1.87,2.98,0.47,0.49,5.79,6443.0
ARG,Argentina,阿根廷,2006,20.65,10.75,10.05,1.67,0.688,-1.41,-0.83,0.8297,0.051,0.0717,1.89,2.98,0.465,0.485,5.74,6691.0
ARG,Argentina,阿根廷,2007,20.6,10.63,10.1,1.22,0.6848,-1.46,-0.6,0.8384,-0.054,0.0847,1.91,2.99,0.46,0.48,5.69,6938.0
ARG,Argentina,阿根廷,2008,20.55,10.87,10.86,1.06,0.6815,-0.91,-0.65,0.7773,-0.008,0.0899,1.93,2.99,0.455,0.475,5.64,7186.0
ARG,Argentina,阿根廷,2009,20.5,10.04,10.25,0.82,0.6783,-0.98,-1.06,0.8036,0.144,0.08,1.95,3.0,0.45,0.47,5.59,7434.0
ARG,Argentina,阿根廷,2010,20.45,10.1,9.71,2.4,0.6751,-0.84,-0.8,0.8013,0.147,0.0939,1.97,3.0,0.445,0.465,5.54,7682.0
ARG,Argentina,阿根廷,2011,20.4,10.11,9.13,1.99,0.6718,-0.69,-0.71,0.7895,0.077,0.093,1.99,3.01,0.44,0.46,5.49,7930.0
ARG,Argentina,阿根廷,2012,20.35,9.87,9.72,1.4,0.6686,-1.0,-0.66,0.8324,-0.115,0.1012,2.01,3.01,0.435,0.455,5.44,8177.0
ARG,Argentina,阿根廷,2013,20.3,9.94,10.34,1.37,0.6654,-0.94,-0.73,0.8038,-0.072,0.0887,2.03,3.02,0.43,0.45,5.39,8425.0
ARG,Argentina,阿根廷,2014,20.25,10.1,9.13,2.06,0.6622,-1.06,-0.96,0.7959,-0.053,0.1023,2.05,3.02,0.425,0.445,5.34,8673.0
ARG,Argentina,阿根廷,2015,20.2,9.69,10.12,1.62,0.6589,-0.79,-1.04,0.7567,0.1,0.0973,2.07,3.03,0.42,0.44,5.29,8921.0
ARG,Argentina,阿根廷,2016,20.15,9.95,9.69,1.42,0.6557,-1.0,-1.04,0.7997,0.21,0.0898,2.09,3.03,0.415,0.435,5.24,9169.0
