rank,code,country_en,RE_geom,D1_process,D2_outcome,D3_institution,RE_BoD_2023,RE_MC_p05,RE_MC_p95,country_cn,EFW,cwtfp,gdp_pc
1,USA,United States,0.7623750480051322,0.788754903349143,0.6127338212810295,0.9861077448904824,1.0,0.6881027215591509,0.8788804809603907,美国,8.06,1.012,71779.0
2,AUS,Australia,0.6736220356797802,0.7008170971400989,0.5444119977337476,0.8600941881909997,0.8856248820516749,0.6097097748708403,0.7719862022088548,澳大利亚,8.01,0.8784,60239.0
3,GBR,United Kingdom,0.6618778810096626,0.7395456293010897,0.4926128467572802,0.8782542768562206,0.9115369382298376,0.5792200354220449,0.7839046568180998,英国,7.86,0.8313,46563.0
4,KOR,South Korea,0.6565940259730662,0.5987997574995104,0.6514481663478608,0.7275591710654261,0.9383041426818896,0.626567313445936,0.6919653513142525,韩国,7.57,0.6552,35022.0
5,CAN,Canada,0.646392754349313,0.6447748034843402,0.5111113825694219,0.886256575607442,0.8764269692511306,0.5764592520405037,0.7655364535085523,加拿大,7.89,0.8991,50854.0
6,FRA,France,0.5728070018232149,0.543970822602072,0.5339292254722108,0.662430819787327,0.7957098766401434,0.5470807086211097,0.616761949067712,法国,7.77,0.9297,44543.0
7,EUU,European Union,0.5722536823580926,0.5463912276161895,0.5145951413338473,0.6905111461209935,0.7829916225994585,0.539230840349013,0.6301374688468203,欧盟,7.75,0.8735,38375.0
8,DEU,Germany,0.5603407855676267,0.4414683740565102,0.563024857282246,0.7067043419059271,0.8079254882931156,0.4978375134638486,0.6321577145095528,德国,7.84,0.9287,50855.0
9,ITA,Italy,0.4517816566248945,0.4098147955214159,0.4309866473486202,0.5303418810270422,0.6341360740145129,0.4273648059623823,0.4899533615562649,意大利,7.72,0.8154,36551.0
10,MEX,Mexico,0.4222820637506796,0.400446377746794,0.3941848127048246,0.4881252025264764,0.5869749253314607,0.4032975839432947,0.4545572247979882,墨西哥,7.03,0.5873,10941.0
11,JPN,Japan,0.4188244481027149,0.1900191037115594,0.4675894288348833,0.797057963940624,0.7057369238131048,0.2847826847359224,0.5904327589082901,日本,7.85,0.6626,44272.0
12,TUR,Türkiye,0.4077220882081147,0.4048953733771524,0.502191105529758,0.3109658013826236,0.6583520923997308,0.3523417455376381,0.4509326960862095,土耳其,5.73,0.6242,9940.0
13,BRA,Brazil,0.3979593231824966,0.4889431242125895,0.3408465074218059,0.3982222034381726,0.5732098254682632,0.3691781798754301,0.4443754364401087,巴西,6.53,0.4681,9589.0
14,ZAF,South Africa,0.3924803629926744,0.4084454595399667,0.321926029032429,0.4911915786868681,0.5184343034577708,0.3578355973225767,0.4450622420632133,南非,6.57,0.501,6601.0
15,IDN,Indonesia,0.3903113670404933,0.429777335450079,0.3717407322598755,0.3782744039740312,0.5497865189672916,0.3784718258965993,0.4095713956972387,印尼,6.79,0.4334,4550.0
16,CHN,China,0.3686176968481313,0.2878159461969126,0.5365327920879734,0.2862051153047451,0.6580553448461193,0.3014055547373509,0.4356506241736315,中国,6.21,0.4349,11157.0
17,RUS,Russia,0.3636220020016359,0.2818528445297072,0.4145510001670917,0.3938892546853443,0.5583924517777885,0.3200478189907028,0.3942577566817526,俄罗斯,5.32,0.5281,12647.0
18,SAU,Saudi Arabia,0.354649924141889,0.3232723243789315,0.3892561258324326,0.3436505979215087,0.5335383059228067,0.3355920017265743,0.3698376215945547,沙特,6.56,0.7894,25454.0
19,IND,India,0.3367816360050312,0.3317263049038025,0.3711665711375186,0.3003467637198143,0.5090063194044818,0.316131437888951,0.3524960515051556,印度,6.64,0.3567,2311.0
20,ARG,Argentina,0.1941760101235086,0.2296228615522832,0.3055193738064369,0.0897260284854364,0.3761216686653602,0.1304290306735945,0.2486792026246247,阿根廷,4.89,0.6331,10903.0
